Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region,Brand Segment,Brand Country
C_CND_000019,2022-01-02,Aaliyah,Male,13.437175577097312,Chrysler Plymouth,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,Pale White,10.404293143019792,53546-9427,SUV,7627010,Janesville,Economy,Japan
C_CND_000020,2022-01-02,Abigail,Male,13.02805489573287,Classic Chevy,Honda,Accord,Double Overhead Camshaft,Auto,Pale White,9.952325334619427,85257-3102,Sedan,6736704,Scottsdale,Economy,Japan
C_CND_000021,2022-01-02,Adrianna,Male,9.510519035757246,Clay Johnson Auto Sales,Toyota,4Runner,Overhead Camshaft,Manual,Black,10.12667110305036,78758-7841,Sedan,7889827,Austin,Economy,Japan
C_CND_000023,2022-01-02,Marcus,Male,13.279368835614243,Diehl Motor CO Inc,Audi,A4,Overhead Camshaft,Manual,Pale White,9.392745258631441,06457-3834,Hardtop,8097778,Middletown,Luxury,Germany
C_CND_000024,2022-01-02,Arthur,Male,13.732130035981154,Star Enterprises Inc,Porsche,Carrera Cabrio,Double Overhead Camshaft,Auto,Pale White,9.798182590890704,99301-3882,Passenger,7959858,Pasco,Luxury,Germany
C_CND_000025,2022-01-02,Lizzie,Male,13.418015107599418,Suburban Ford,Volkswagen,Jetta,Double Overhead Camshaft,Auto,Pale White,9.99884318585288,53546-9427,Passenger,8570849,Janesville,Midrange,Germany
C_CND_000026,2022-01-02,Florian,Male,13.59392953526616,Tri-State Mack Inc,Dodge,Viper,Double Overhead Camshaft,Auto,Pale White,10.349806654652559,85257-3102,SUV,8520534,Scottsdale,Midrange,USA
C_CND_000027,2022-01-02,Cassandre,Female,13.617060838751888,U-Haul CO,Buick,Regal,Double Overhead Camshaft,Auto,Black,9.852246888342531,78758-7841,Passenger,6362556,Austin,Midrange,USA
C_CND_000030,2022-01-02,Sofia,Male,13.83531416565213,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,9.472781556562168,06457-3834,Hatchback,7698986,Scottsdale,Economy,USA
C_CND_000031,2022-01-02,Sophia,Male,12.25486757159303,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,9.90353755128617,60504-7114,Sedan,8847858,Austin,Economy,Japan
C_CND_000032,2022-01-02,Sophie,Male,13.527829818844937,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,9.546884034617925,38701-8047,Hatchback,8344679,Middletown,Luxury,Germany
C_CND_000033,2022-01-02,Stella,Male,13.361381852676738,Star Enterprises Inc,Honda,Accord,Double Overhead Camshaft,Auto,Pale White,9.852246888342531,99301-3882,Sedan,6827044,Aurora,Economy,Japan
C_CND_000034,2022-01-02,Suri,Male,13.42246945133505,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,10.668978650219241,85257-3102,Hatchback,7954038,Greenville,Economy,Japan
C_CND_000035,2022-01-02,Sury,Male,13.68767832281738,U-Haul CO,Jaguar,S-Type,Double Overhead Camshaft,Auto,Black,9.680406499268875,78758-7841,Passenger,7400390,Pasco,Luxury,UK
C_CND_000036,2022-01-03,Haley,Male,9.510519035757246,Diehl Motor CO Inc,Volvo,S40,Double Overhead Camshaft,Auto,Pale White,10.645448706505872,06457-3834,Sedan,7153628,Middletown,Luxury,Sweden
C_CND_000037,2022-01-03,Hannah,Male,9.510519035757246,Enterprise Rent A Car,Mercury,Mountaineer,Double Overhead Camshaft,Auto,Pale White,9.952325334619427,60504-7114,SUV,6125796,Aurora,Midrange,USA
C_CND_000038,2022-01-03,Haylee,Male,9.510519035757246,Gartner Buick Hyundai Saab,Buick,Park Avenue,Double Overhead Camshaft,Auto,Black,11.0186455364637,38701-8047,Hatchback,7438037,Greenville,Midrange,USA
C_CND_000039,2022-01-03,Hayley,Male,13.754699481266208,Hatfield Volkswagen,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Pale White,10.571342565808699,99301-3882,SUV,6837588,Pasco,Economy,Japan
C_CND_000040,2022-01-03,Harry,Female,9.510519035757246,Star Enterprises Inc,Nissan,Sentra,Double Overhead Camshaft,Auto,Black,9.680406499268875,99301-3882,Passenger,7213857,Pasco,Economy,Japan
C_CND_000041,2022-01-03,Henry,Male,9.510519035757246,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,10.165890277802454,53546-9427,Sedan,7704004,Janesville,Midrange,USA
C_CND_000042,2022-01-03,Hersh,Female,9.510519035757246,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,9.952325334619427,85257-3102,Sedan,8018700,Scottsdale,Luxury,Sweden
C_CND_000044,2022-01-03,Aicha,Male,13.304686600863562,Diehl Motor CO Inc,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Black,10.714462212209277,06457-3834,Hatchback,6739543,Middletown,Economy,Japan
C_CND_000045,2022-01-03,Aisha,Male,13.26212705890841,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,10.49132977145065,60504-7114,Hatchback,6091237,Aurora,Economy,USA
C_CND_000046,2022-01-03,Aissatou,Male,13.246351123968212,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,9.392745258631441,38701-8047,Hatchback,6547535,Greenville,Luxury,Germany
C_CND_000047,2022-01-03,Alana,Male,14.038654909278163,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,Pale White,9.95237295026594,99301-3882,Hatchback,8689761,Pasco,Luxury,Germany
C_CND_000048,2022-01-03,Chloe,Male,13.500801182986649,Rabun Used Car Sales,Acura,TL,Double Overhead Camshaft,Auto,Pale White,10.275085591132715,85257-3102,Hatchback,6404807,Scottsdale,Luxury,Japan
C_CND_000050,2022-01-03,Aurore,Male,9.510519035757246,Ryder Truck Rental and Leasing,Cadillac,DeVille,Double Overhead Camshaft,Auto,Pale White,9.99884318585288,06457-3834,SUV,7836930,Middletown,Luxury,USA
C_CND_000051,2022-01-03,Nikita,Male,13.981025843899115,Saab-Belle Dodge,Dodge,Stratus,Double Overhead Camshaft,Auto,Pale White,10.34177474101152,60504-7114,Hatchback,7316398,Aurora,Midrange,USA
C_CND_000052,2022-01-03,Justine,Male,14.122995993006082,Progressive Shippers Cooperative Association No,Audi,A4,Double Overhead Camshaft,Auto,Black,10.203629181337648,53546-9427,Hardtop,7680267,Austin,Luxury,Germany
C_CND_000053,2022-01-03,Sylvia,Female,13.369225017834633,C & M Motors Inc,Mercury,Cougar,Double Overhead Camshaft,Auto,Black,10.404293143019792,60504-7114,Hatchback,6402878,Scottsdale,Midrange,USA
C_CND_000054,2022-01-03,Chloe,Male,13.329379172803593,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,9.546884034617925,38701-8047,Hardtop,7890478,Middletown,Economy,USA
C_CND_000055,2022-01-03,Tamar,Male,13.161586013632684,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,9.741027444837728,99301-3882,SUV,8523869,Middletown,Luxury,Japan
C_CND_000056,2022-01-04,Hazel,Male,14.444652941597205,Iceberg Rentals,Saturn,SW,Double Overhead Camshaft,Auto,Pale White,10.150386692204734,53546-9427,Passenger,8852693,Janesville,Economy,USA
C_CND_000057,2022-01-04,Heaven,Male,9.510519035757246,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,9.741027444837728,85257-3102,Hatchback,6444851,Scottsdale,Luxury,Sweden
C_CND_000058,2022-01-04,Heidi,Male,9.510519035757246,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,9.952325334619427,78758-7841,SUV,6052630,Austin,Midrange,USA
C_CND_000059,2022-01-04,Hershy,Male,13.698977865303197,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,9.392745258631441,06457-3834,Hatchback,8939776,Middletown,Luxury,Germany
C_CND_000060,2022-01-04,Hudson,Male,14.403297778421795,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,9.741027444837728,60504-7114,Passenger,7177888,Aurora,Luxury,Germany
C_CND_000061,2022-01-04,Amare,Male,14.100690252077353,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,10.491301994830229,06457-3834,Hardtop,6139882,Janesville,Economy,Japan
C_CND_000062,2022-01-04,Alexandria,Male,12.881567435377423,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,9.741027444837728,53546-9427,Hatchback,7181009,Janesville,Luxury,Germany
C_CND_000063,2022-01-04,Alexis,Male,12.994532278619134,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,10.62135173563291,85257-3102,Hatchback,7936565,Austin,Luxury,Germany
C_CND_000064,2022-01-04,Alyssa,Female,12.54254845357358,Nebo Chevrolet,Audi,A6,Double Overhead Camshaft,Auto,Black,9.546884034617925,06457-3834,SUV,7419754,Middletown,Luxury,Germany
C_CND_000065,2022-01-04,Coline,Male,13.956142556513372,Scrivener Performance Engineering,Dodge,Intrepid,Double Overhead Camshaft,Auto,Pale White,10.344995251991222,38701-8047,Sedan,8637804,Greenville,Midrange,USA
C_CND_000066,2022-01-04,Annaelle,Male,14.316286451937186,Star Enterprises Inc,Buick,Park Avenue,Double Overhead Camshaft,Auto,Black,11.0186455364637,99301-3882,Hatchback,8380613,Pasco,Midrange,USA
C_CND_000067,2022-01-04,Anais,Male,9.510519035757246,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,10.165890277802454,53546-9427,SUV,6595676,Janesville,Midrange,USA
C_CND_000068,2022-01-04,Taylor,Male,13.704580114574805,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,9.392745258631441,53546-9427,Passenger,7244029,Aurora,Economy,Japan
C_CND_000069,2022-01-04,Tessa,Female,13.399996629152975,Classic Chevy,Volvo,S40,Double Overhead Camshaft,Auto,Pale White,10.645448706505872,85257-3102,Sedan,6741165,Greenville,Luxury,Sweden
C_CND_000070,2022-01-04,Toby,Male,9.510519035757246,Clay Johnson Auto Sales,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,Pale White,9.952325334619427,78758-7841,Hatchback,8822935,Pasco,Economy,Japan
C_CND_000071,2022-01-05,Heidy,Male,14.307765407391587,Nebo Chevrolet,Cadillac,DeVille,Double Overhead Camshaft,Auto,Pale White,10.025749432069084,06457-3834,SUV,8026457,Middletown,Luxury,USA
C_CND_000072,2022-01-05,Helen,Female,13.815511557963774,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,10.714439990727769,60504-7114,Passenger,8872334,Aurora,Luxury,UK
C_CND_000073,2022-01-05,Imani,Female,13.521140839642674,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,10.12667110305036,38701-8047,SUV,6204993,Greenville,Economy,Japan
C_CND_000074,2022-01-05,Ingrid,Male,12.611541086966115,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,Double Overhead Camshaft,Auto,Pale White,11.034905792929415,99301-3882,Sedan,7031644,Pasco,Midrange,USA
C_CND_000076,2022-01-05,Iris,Female,13.20302312543853,Rabun Used Car Sales,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Black,10.714439990727769,85257-3102,SUV,6245275,Scottsdale,Economy,Japan
C_CND_000077,2022-01-05,Hunter,Male,13.997832948091215,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,Black,9.741027444837728,99301-3882,Hatchback,7072635,Pasco,Luxury,USA
C_CND_000078,2022-01-05,James,Male,13.102162710901053,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,10.799595985047786,78758-7841,Hardtop,6766211,Austin,Midrange,USA
C_CND_000079,2022-01-05,Ilan,Male,12.923914877701906,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,9.61587214452889,85257-3102,SUV,8011357,Scottsdale,Luxury,Germany
C_CND_000080,2022-01-05,Isaac,Male,13.742940940397677,Clay Johnson Auto Sales,Acura,TL,Double Overhead Camshaft,Auto,Black,10.239995502805316,78758-7841,Hatchback,7539127,Austin,Luxury,Japan
C_CND_000081,2022-01-05,Aaron,Male,13.081543466215237,Tri-State Mack Inc,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,10.736418414365376,85257-3102,Hardtop,6559063,Greenville,Economy,Japan
C_CND_000082,2022-01-05,Israel,Female,14.122995993006082,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,10.668978650219241,60504-7114,Hatchback,8082987,Aurora,Midrange,USA
C_CND_000083,2022-01-05,Amara,Male,14.603968372873895,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,Double Overhead Camshaft,Auto,Pale White,10.62135173563291,60504-7114,Sedan,7328070,Aurora,Midrange,USA
C_CND_000084,2022-01-05,Amaya,Female,13.910821646859095,Pars Auto Sales,Chevrolet,Corvette,Double Overhead Camshaft,Auto,Pale White,10.714439990727769,38701-8047,SUV,7078803,Greenville,Economy,USA
C_CND_000085,2022-01-05,Amelia,Male,9.510519035757246,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,9.99888863729938,99301-3882,Hatchback,8636283,Pasco,Economy,USA
C_CND_000088,2022-01-05,Aminata,Male,9.510519035757246,Race Car Help,Chrysler,300M,Double Overhead Camshaft,Auto,Black,10.165890277802454,78758-7841,SUV,8941079,Austin,Midrange,USA
C_CND_000089,2022-01-05,Alizee,Male,9.510519035757246,Tri-State Mack Inc,BMW,328i,Double Overhead Camshaft,Auto,Black,9.798182590890704,85257-3102,Sedan,6136111,Scottsdale,Luxury,Germany
C_CND_000091,2022-01-05,Wadia,Male,14.034646891093473,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,10.021315031649332,06457-3834,Sedan,7696195,Middletown,Economy,Japan
C_CND_000092,2022-01-05,Mauricio,Male,9.510519035757246,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,9.95237295026594,78758-7841,Hardtop,8188037,Austin,Midrange,USA
C_CND_000093,2022-01-05,Maximilian,Male,13.924365859736941,Saab-Belle Dodge,Chrysler,Concorde,Double Overhead Camshaft,Auto,Pale White,10.747229096720554,60504-7114,Hardtop,8351089,Aurora,Midrange,USA
C_CND_000094,2022-01-05,Elisa,Male,9.510519035757246,Chrysler of Tri-Cities,Chrysler,300M,Double Overhead Camshaft,Auto,Pale White,9.680406499268875,99301-3882,SUV,6130679,Pasco,Midrange,USA
C_CND_000095,2022-01-05,Tzipora,Male,14.562198979385785,Diehl Motor CO Inc,Volvo,V70,Double Overhead Camshaft,Auto,Black,10.571342565808699,06457-3834,Passenger,6260413,Janesville,Luxury,Sweden
C_CND_000096,2022-01-05,Tziporah,Female,9.510519035757246,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,9.852246888342531,60504-7114,SUV,8750989,Scottsdale,Economy,Japan
C_CND_000097,2022-01-05,Tzippy,Male,13.864301674514206,Gartner Buick Hyundai Saab,Chrysler,LHS,Double Overhead Camshaft,Auto,Black,10.165890277802454,38701-8047,Hatchback,6784534,Austin,Midrange,USA
C_CND_000098,2022-01-05,Tzivia,Male,9.510519035757246,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,10.668978650219241,99301-3882,Sedan,7944735,Janesville,Economy,Japan
C_CND_000099,2022-01-05,Valentina,Female,9.510519035757246,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,10.896757843893464,53546-9427,Sedan,8099375,Scottsdale,Economy,Japan
C_CND_000100,2022-01-05,Valerie,Male,12.676079399771027,McKinney Dodge Chrysler Jeep,Dodge,Durango,Double Overhead Camshaft,Auto,Pale White,9.99884318585288,85257-3102,SUV,6641303,Austin,Midrange,USA
C_CND_000101,2022-01-06,Isabel,Male,9.510519035757246,Race Car Help,Lexus,ES300,Double Overhead Camshaft,Auto,Black,9.68046899341007,78758-7841,SUV,8158584,Austin,Luxury,Japan
C_CND_000102,2022-01-06,Isabela,Female,13.541075028051122,Ryder Truck Rental and Leasing,BMW,328i,Double Overhead Camshaft,Auto,Black,9.68046899341007,06457-3834,Sedan,7159142,Middletown,Luxury,Germany
C_CND_000103,2022-01-06,Ivan,Male,14.144815024531075,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,Pale White,9.392745258631441,38701-8047,SUV,7495544,Greenville,Economy,Japan
C_CND_000104,2022-01-06,Abel,Male,13.398480330934175,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,10.545367754151743,06457-3834,Hardtop,6682438,Janesville,Luxury,Germany
C_CND_000105,2022-01-06,Amira,Male,14.100690252077353,Ryder Truck Rental and Leasing,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,10.645448706505872,06457-3834,Hatchback,7189696,Middletown,Midrange,USA
C_CND_000106,2022-01-06,Amirah,Male,9.510519035757246,Saab-Belle Dodge,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,9.952325334619427,60504-7114,Hatchback,8844816,Aurora,Economy,Japan
C_CND_000107,2022-01-06,Mathias,Female,9.510519035757246,Chrysler Plymouth,Volvo,C70,Double Overhead Camshaft,Auto,Black,10.799595985047786,53546-9427,Hatchback,8002612,Janesville,Luxury,Sweden
C_CND_000108,2022-01-06,Noel,Male,14.124465499905716,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,9.961803629358965,99301-3882,Hardtop,6633882,Pasco,Economy,USA
C_CND_000110,2022-01-06,Vera,Female,12.807655372286902,Nebo Chevrolet,Chevrolet,Camaro,Double Overhead Camshaft,Auto,Pale White,9.741027444837728,06457-3834,Sedan,6759578,Aurora,Economy,USA
C_CND_000111,2022-01-09,Isabella,Female,13.083624628087817,Saab-Belle Dodge,Subaru,Outback,Double Overhead Camshaft,Auto,Pale White,10.950841633920426,60504-7114,SUV,6376331,Aurora,Midrange,Japan
C_CND_000112,2022-01-09,Isabelle,Male,13.45883704259595,Scrivener Performance Engineering,Buick,Park Avenue,Double Overhead Camshaft,Auto,Pale White,11.034921921571465,38701-8047,Hatchback,6729016,Greenville,Midrange,USA
C_CND_000113,2022-01-09,Isis,Male,14.115615891155079,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,11.14189076866657,99301-3882,SUV,7270473,Pasco,Midrange,USA
C_CND_000114,2022-01-09,Itzel,Male,13.527829818844937,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,9.90358754753646,53546-9427,SUV,7281617,Janesville,Economy,USA
C_CND_000115,2022-01-09,Yadiel,Male,13.019224835777257,McKinney Dodge Chrysler Jeep,Audi,A4,Double Overhead Camshaft,Auto,Black,10.203629181337648,85257-3102,Hardtop,7824922,Austin,Luxury,Germany
C_CND_000116,2022-01-09,Joseph,Female,13.384729180332174,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,Black,10.799595985047786,78758-7841,Hardtop,8944331,Janesville,Midrange,USA
C_CND_000117,2022-01-09,Jake,Male,13.45883704259595,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,10.799595985047786,78758-7841,Hatchback,7757499,Austin,Economy,Japan
C_CND_000118,2022-01-09,James,Female,9.510519035757246,Nebo Chevrolet,Lexus,GS400,Double Overhead Camshaft,Auto,Black,9.392745258631441,06457-3834,Hatchback,6586288,Middletown,Luxury,Japan
C_CND_000119,2022-01-09,Amiya,Female,14.014362236381235,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,10.12667110305036,38701-8047,Hatchback,8486170,Greenville,Luxury,Germany
C_CND_000120,2022-01-09,Amiyah,Male,14.077875591662238,Star Enterprises Inc,Chrysler,Concorde,Double Overhead Camshaft,Auto,Pale White,10.645448706505872,99301-3882,Hatchback,6732905,Pasco,Midrange,USA
C_CND_000121,2022-01-09,Angelina,Male,13.060490101343552,Suburban Ford,Chrysler,Sebring Coupe,Double Overhead Camshaft,Auto,Pale White,9.852246888342531,53546-9427,Sedan,7212279,Janesville,Midrange,USA
C_CND_000122,2022-01-09,Aniya,Female,13.970376125055871,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,10.19432713480299,85257-3102,Hatchback,8144887,Scottsdale,Economy,USA
C_CND_000125,2022-01-09,Clara,Female,14.340239678615058,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,9.61587214452889,60504-7114,SUV,6238423,Aurora,Economy,South Korea
C_CND_000128,2022-01-09,Veronika,Female,13.465954500233115,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,10.085850775128717,38701-8047,Hatchback,6323753,Pasco,Luxury,Sweden
C_CND_000129,2022-01-09,Victoria,Male,13.415034483903348,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,Double Overhead Camshaft,Auto,Pale White,9.852246888342531,99301-3882,Passenger,8368721,Janesville,Economy,USA
C_CND_000130,2022-01-09,Violet,Male,9.510519035757246,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,9.90353755128617,53546-9427,Passenger,6328688,Scottsdale,Luxury,UK
C_CND_000131,2022-01-10,Izabella,Female,14.50112997588164,Tri-State Mack Inc,Acura,TL,Double Overhead Camshaft,Auto,Black,10.257729539233157,85257-3102,Hatchback,6553517,Scottsdale,Luxury,Japan
C_CND_000132,2022-01-10,Jason,Male,14.058457520888082,New Castle Ford Lincoln Mercury,BMW,323i,Double Overhead Camshaft,Auto,Pale White,9.648659816955295,60504-7114,Hatchback,8070819,Aurora,Luxury,Germany
C_CND_000133,2022-01-10,Aniyah,Male,9.510519035757246,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,9.90353755128617,78758-7841,Passenger,7541816,Austin,Economy,USA
C_CND_000134,2022-01-10,Elise,Male,14.316286451937186,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,10.275085591132715,99301-3882,Sedan,8368460,Pasco,Economy,Japan
C_CND_000135,2022-01-10,Vivian,Male,13.162547088264901,Rabun Used Car Sales,Chrysler,Cirrus,Double Overhead Camshaft,Auto,Pale White,9.433563920090563,85257-3102,Passenger,7578367,Austin,Midrange,USA
C_CND_000136,2022-01-12,Jacqueline,Female,13.122365377402328,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,9.68046899341007,78758-7841,SUV,6435654,Austin,Midrange,USA
C_CND_000137,2022-01-12,Jada,Male,13.974649632180673,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,Double Overhead Camshaft,Auto,Pale White,10.21284549666577,06457-3834,SUV,7906708,Middletown,Luxury,Japan
C_CND_000138,2022-01-12,Jade,Male,12.996802422000108,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,9.305741456739435,60504-7114,Sedan,6536878,Aurora,Midrange,USA
C_CND_000139,2022-01-12,Jaelynn,Male,14.085538458535822,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,9.99888863729938,38701-8047,Sedan,6374244,Greenville,Economy,Japan
C_CND_000140,2022-01-12,Jamie,Male,9.510519035757246,Chrysler of Tri-Cities,Dodge,Avenger,Double Overhead Camshaft,Auto,Pale White,9.99884318585288,99301-3882,Passenger,6500188,Pasco,Midrange,USA
C_CND_000141,2022-01-12,Janelle,Male,13.997832948091215,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,9.99884318585288,53546-9427,SUV,8574162,Janesville,Economy,USA
C_CND_000142,2022-01-12,Jasper,Male,14.33430494661736,Pars Auto Sales,Acura,RL,Overhead Camshaft,Manual,Black,9.798182590890704,38701-8047,SUV,6655590,Greenville,Luxury,Japan
